IATA,ICAO,Airline,Call sign,Country/Region,Comments
AN,AAA,Ansett Australia,ANSETT,Australia,defunct
AO,AUZ,Australian Airlines,AUSTRALIAN,Australia,Subsidiary merged with Qantas
AP,LAV,AlbaStar,ALBASTAR,Spain,
AQ,AAH,Aloha Airlines,ALOHA,United States,Ceased operations; former IATA code: TS
AQ,MPJ,MAP-Management and Planung,MAPJET,Austria,
AR,ARG,Aerolíneas Argentinas,ARGENTINA,Argentina,
AS,ASA,"Alaska Airlines, Inc.",ALASKA,United States,
AT,RAM,Royal Air Maroc,ROYALAIR MAROC,Morocco,
AU,AUT,Austral Líneas Aéreas,AUSTRAL,Argentina,
AV,AVA,Avianca,AVIANCA,Colombia,
AW,AFW,Africa World Airlines,BLACKSTAR,Ghana,
AW,SCH,CHC Airways,SCHREINER,Netherlands,"formerly Schreiner Airways. ICAO code in use by another company, call sign no longer allocated"
AW,DIR,Dirgantara Air Service,DIRGANTARA,Indonesia,
AX,—,AmericanConnection[5],—,United States,
AX,LOF,Trans States Airlines,WATERSKI,United States,
AY,FIN,Finnair,FINNAIR,Finland,
AZ,AZA,Alitalia,ALITALIA,Italy,
B2,BRU,Belavia Belarusian Airlines,BELARUS AVIA,Belarus,
B3,BLV,Bellview Airlines,BELLVIEW AIRLINES,Nigeria,
B4,BCF,BACH Flugbetriebsges,BACH,Austria,
B4,BKA,Bankair,BANKAIR,United States,
B5,FLT,Flightline,FLIGHTLINE,United Kingdom,defunct
B7,UIA,UNI Air,GLORY,Taiwan,
B8,ERT,Eritrean Airlines,ERITREAN,Eritrea,
B9,BGD,Air Bangladesh,AIR BANGLA,Bangladesh,defunct
BA,BAW,British Airways,SPEEDBIRD,United Kingdom,
BB,SBS,Seaborne Airlines,SEABORNE,United States,
BC,SKY,Skymark Airlines,SKYMARK,Japan,
BD,BMA,BMI,MIDLAND,United Kingdom,Ceased operations
BE,BEE,Flybe,JERSEY,United Kingdom,
BF,RSR,Aero-Service,CONGOSERV,Republic of the Congo,
BG,BBC,Biman Bangladesh Airlines,BANGLADESH,Bangladesh,
BH,,Hawkair,,Canada,defunct since 2016
BI,RBA,Royal Brunei Airlines,BRUNEI,Brunei,
BJ,LBT,Nouvel Air Tunisie,NOUVELAIR,Tunisia,
BK,PDC,Potomac Air,DISTRICT,United States,
BL,PIC,Pacific Airlines,PACIFIC AIRLINES,Vietnam,
BM,,Air Sicilia,,Italy,defunct
BM,BMR,BMI Regional,MIDLAND,United Kingdom,
BN,BNF,Braniff International Airways,Braniff,United States,defunct
BN,,Forward Air International Airlines,,United States,
BN,HZA,Horizon Airlines,HORIZON,Australia,defunct
BO,BBW,BB Airways,BEEBEE AIRWAYS,Nepal,
BO,BBD,Bluebird Nordic,BLUE CARGO,Iceland,
BO,BOU,Bouraq Indonesia Airlines,BOURAQ,Indonesia,
BP,BOT,Air Botswana,BOTSWANA,Botswana,
BQ,ROM,Aeromar Lineas Aereas Dominicanas,BRAVO QUEBEC,Dominican Republic,defunct
BQ,BTL,Baltia Air Lines,BALTIA,United States,"Callsign changed from ""BALTIA FLIGHT"" in 2015[10]"
BR,EVA,EVA Air,EVA,Taiwan,
BS,BIH,British International Helicopters,BRINTEL,United Kingdom,
BS,UBG,US-Bangla Airlines,BANGLA STAR,Bangladesh,
BT,BTI,Air Baltic,AIRBALTIC,Latvia,
BU,BUN,Buryat Airlines Aircompany,BURAL,Russia,
BV,BPA,Blue Panorama Airlines,BLUE PANOROMA,Italy,
BW,BWA,Caribbean Airlines,CARIBBEAN AIRLINES,Trinidad and Tobago,
BW,BWA,Caribbean Airlines,CARIBBEAN,Trinidad and Tobago,
BX,ABL,Air Busan,AIR BUSAN,Republic of Korea,
BX,CST,Coast Air,COAST CENTER,Norway,
BY,TOM,Thomson Airways,TUI AIR[50],United Kingdom,"Formerly ""TOMSON"""
BZ,BDA,Blue Dart Aviation,BLUE DART,India,
BZ,KEE,Keystone Air Service,KEYSTONE,Canada,
C3,IPR,Independent Carrier (ICAR),ICAR,Ukraine,
C4,IMX,Zimex Aviation,ZIMEX,Switzerland,
C4,IMX,Zimex Aviation,ZIMEX,Switzerland,
C5,UCA,CommutAir,COMMUTAIR,United States,
C6,CJA,CanJet,CANJET,Canada,
C7,CIN,Cinnamon Air,CINNAMON,Sri Lanka,
C7,RLE,Rico Linhas Aéreas,RICO,Brazil,
C8,ICV,Cargolux Italia,CARGO MED,Italy,
C8,WDY,Chicago Jet Group,WINDY CITY,United States,
C9,RUS,Cirrus Airlines,CIRRUS AIR,Germany,defunct
CA,CCA,Air China,AIR CHINA,China,
CB*,KII,Kalitta Charters II,DRAGSTER,United States,Operates B727-200s & DC9s
CC,ABD,Air Atlanta Icelandic,ATLANTA,Iceland,
CC,MCK,Macair Airlines,,Australia,
CD,CND,Corendon Dutch Airlines,DUTCH CORENDON,Netherlands,
CE,NTW,Nationwide Airlines,NATIONWIDE,South Africa,
CG,TOK,Airlines PNG,BALUS,Papua New Guinea,
CH,BMJ,Bemidji Airlines,BEMIDJI,United States,
CI,CAL,China Airlines,DYNASTY,Taiwan,
CJ,CFE,BA CityFlyer,FLYER,United Kingdom,
CJ,CBF,China Northern Airlines,CHINA NORTHERN,China,defunct.
CJ,CFE,CityFlyer Express,FLYER,United Kingdom,"Defunct, ICAO code in use by BA CityFlyer"
CK,CKK,China Cargo Airlines,CARGO KING,China,
CL,CLH,Lufthansa CityLine,HANSALINE,Germany,
CM,CMP,Copa Airlines,COPA,Panama,
CN,,Islands Nationair,,Papua New Guinea,
CN,WWD,Westward Airways,WESTWARD,United States,
CO,COA,Continental Airlines,CONTINENTAL,United States,ICAO Code and callsign withdrawn
CO,,Continental Express,JETLINK,United States,
CP,CDN,Canadian Airlines,CANADIAN,Canada,defunct
CP,CPC,Canadian Pacific Airlines,EMPRESS,Canada,ICAO Code and callsign no longer allocated
CP,CPZ,Compass Airlines,COMPASS ROSE,United States,
CQ,CCW,Central Charter,CENTRAL CHARTER,Czech Republic,
CQ,EXL,Sunshine Express Airlines,,Australia,
CS,CMI,Continental Micronesia,AIR MIKE,United States,
CT,CAT,Civil Air Transport,Mandarin,Taiwan,defunct
CU,CUB,Cubana de Aviación,CUBANA,Cuba,
CV,CVA,Air Chathams,CHATHAM,New Zealand,
CV,CLX,Cargolux,CARGOLUX,Luxembourg,
CW,CWM,Air Marshall Islands,AIR MARSHALLS,Marshall Islands,
CX,CPA,Cathay Pacific,CATHAY,Hong Kong,
CY,CYP,Cyprus Airways,CYPRUS,Cyprus,
CZ,CSN,China Southern Airlines,CHINA SOUTHERN,China,
D0,DHK,DHL Air Limited,WORLD EXPRESS,United Kingdom,DHL Air UK
D2,SSF,Severstal Air Company,SEVERSTAL,Russia,
D3,DAO,Daallo Airlines,DALO AIRLINES,Djibouti,
D4,LID,Alidaunia,ALIDA,Italy,
D5,DAU,Dauair,DAUAIR,Germany,
D6,ILN,Interair South Africa,INLINE,South Africa,
D7,XAX,AirAsia X,XANADU,Malaysia,
D7,XFA,FlyAsianXpress,FAX AIR,Malaysia,
D8,IBK,Norwegian Air International (Norway),NORTRANS,Norway,
D8,IBK,Norwegian Air International,NORTRANS,Ireland,subsidiary of Norwegian Air Shuttle[35]
D9,DNV,Donavia,DONAVIA,Russia,formerly Aeroflot-Don
DA,GRG,Air Georgia,AIR GEORGIA,Georgia,
DB,BZH,Brit Air,BRITAIR,France,
DB,MLT,Maleth-Aero,,Malta,
DC,GAO,Golden Air,GOLDEN,Sweden,
DD,DDL,Danish Air Lines,,Denmark,defunct
DD,NOK,Nok Air,NOK AIR,Thailand,
DE,CFG,Condor Flugdienst,CONDOR,Germany,
DG,SRQ,Cebgo,BLUE JAY,Philippines,"Formerly SEAir, South East Asian Airlines and Tigerair Philippines"
DH,DVA,Discovery Airways,DISCOVERY AIRWAYS,United States,
DH,IDE,Independence Air,INDEPENDENCE AIR,United States,defunct
DH,NAN,Norwegian Air Norway,NORSHIP,Norway,subsidiary of Norwegian Air Shuttle
DI,BAG,Dba,SPEEDWAY,Germany,Merged into Air Berlin
DI,NRS,Norwegian Air UK,REDNOSE,United Kingdom,subsidiary of Norwegian Air Shuttle
DJ,WAJ,AirAsia Japan,WING ASIA,Japan,
DJ,PBN,Pacific Blue,BLUEBIRD,New Zealand,Controlled Dupe IATA with Virgin Australia
DJ,PLB,Polynesian Blue,POLYBLUE,New Zealand,"Controlled Dupe IATA, Code reserved but not in use, PBN (Bluebird) used."
DK,ELA,Eastland Air,,Australia,
DL,DAL,Delta Air Lines,DELTA,United States,
DM,,Maersk,,Denmark,Defunct
DN,NAA,Norwegian Air Argentina,NORUEGA,Argentina,subsidiary of Norwegian Air Shuttle
DO,DOA,Dominicana de Aviación,DOMINICANA,Dominican Republic,defunct
DP,FCA,First Choice Airways,JETSET,United Kingdom,
DQ,,Coastal Air,U.S. Virgin Islands,United States,
DS,EZS,easyJet Switzerland,TOPSWISS,Switzerland,
DT,DTA,TAAG Angola Airlines,DTA,Angola,
DU,NLH,Norwegian Long Haul,NORSTAR,Norway,subsidiary of Norwegian Air Shuttle
DV,ACK,Nantucket Airlines,ACK AIR,United States,WAS 9k
DV,VSV,Scat Air,VLASTA,Kazakhstan,
DW,UCR,Aero-Charter Ukraine,CHARTER UKRAINE,Ukraine,
DX,DTR,DAT Danish Air Transport,DANISH,Denmark,
DY,NAX,Norwegian Air Shuttle,NOR SHUTTLE,Norway,
E0,ESS,Eos Airlines,NEW DAWN,United States,
E1,,Everbread,,United Kingdom,
E2,EWE,Eurowings Europe,EUROWINGS,Austria,
E2,KMP,Kampuchea Airlines,KAMPUCHEA,Cambodia,IATA was KT
E2,GRN,Rio Grande Air,GRANDE,United States,defunct
E3,DMO,Domodedovo Airlines,DOMODEDOVO,Russia,defunct
E3,VGO,Sabaidee Airways,VIRGO,Thailand,
E4,RSO,Aero Asia International,AERO ASIA,Pakistan,defunct
E5,BRZ,Samara Airlines,BERYOZA,Russia,defunct
E5,RBG,Air Arabia Egypt,ARABIA EGYPT,Egypt,
E6,,Bringer Air Cargo Taxi Aéreo,,Brazil,
E7,ESF,Estafeta Carga Aérea,,Mexico,
E7,EAF,European Aviation Air Charter,EUROCHARTER,United Kingdom,
E8,ELG,Alpi Eagles,ALPI EAGLES,Italy,"defunct, ICAO code no longer allocated"
E9,CXS,Boston-Maine Airways,CLIPPER CONNECTION,United States,Pan Am Clipper Connection Pan Am III
EA,EAL,Eastern Air Lines,EASTERN,United States,defunct
EA,EAL,European Air Express,STAR WING,Germany,
EC,TWN,Avialeasing Aviation Company,TWINARROW,Uzbekistan,
EC,EJU,easyJet Europe,ALPINE,Austria,
ED*,ABQ,Airblue,PAKBLUE,Pakistan,
EE,EAY,Aero Airlines,REVAL,Estonia,defunct
EH,AKX,Air Nippon Network Co. Ltd.,ALFA WING,Japan,merged into ANA Wings
EH,SET,SAETA,SAETA,Ecuador,
EI,EIN,Aer Lingus,SHAMROCK,Ireland,
EJ,NEA,New England Airlines,NEW ENGLAND,United States,
EK,UAE,Emirates Airlines,EMIRATES,United Arab Emirates,
EL,ANK,Air Nippon,ANK AIR,Japan,"merged into All Nippon Airways, ICAO code no longer allocated"
EL,ELB,Ellinair,ELLINAIR HELLAS,Greece,
EM,CFS,Empire Airlines,EMPIRE AIR,United States,
EM*,AEB,Aero Benin,AEROBEN,Benin,defunct
EN,DLA,Air Dolomiti,DOLOMITI,Italy,
EO,LHN,Express One International,LONGHORN,United States,defunct
EO,ALX,Hewa Bora Airways,ALLCONGO,Democratic Republic of the Congo,
EP,IRC,Iran Aseman Airlines,ASEMAN,Iran,
EQ,TAE,TAME,TAME,Ecuador,Transporte Aéreos Militares Ecuatorianos
ER,DHL,Astar Air Cargo,D-H-L,United States,"defunct, DHL"
ES,DHX,DHL International,DILMUN,Bahrain,
ET,ETH,Ethiopian Airlines,ETHIOPIAN,Ethiopia,
EU,EEA,Empresa Ecuatoriana De Aviación,ECUATORIANA,Ecuador,
EV,ASQ,Atlantic Southeast Airlines,ACEY,United States,Merged into ExpressJet Airlines
EV,ASQ,ExpressJet,ACEY,United States,
EW,EWG,Eurowings,EUROWINGS,Germany,
EX,BJK,Atlantic Airlines,BLACKJACK,United States,
EX,SDO,Air Santo Domingo,AERO DOMINGO,Dominican Republic,
